◇ injected env (3) from .env.local // tip: ⌘ override existing { override: true }
Bây giờ là: 6/14/2026, 8:14:20 AM
Có 99 trận pending/live.
- Thắng trận 86 vs Thắng trận 88 | Kickoff: 7/7/2026, 11:00:00 PM | Status: pending | Đã trôi qua: -34006 phút
- Thắng trận 85 vs Thắng trận 87 | Kickoff: 7/8/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -34246 phút
- Thắng trận 89 vs Thắng trận 90 | Kickoff: 7/10/2026, 3:00:00 AM | Status: pending | Đã trôi qua: -37126 phút
- Thắng trận 93 vs Thắng trận 94 | Kickoff: 7/11/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -38506 phút
- Thắng trận 91 vs Thắng trận 92 | Kickoff: 7/12/2026, 4:00:00 AM | Status: pending | Đã trôi qua: -40066 phút
- Thắng trận 95 vs Thắng trận 96 | Kickoff: 7/12/2026, 8:00:00 AM | Status: pending | Đã trôi qua: -40306 phút
- Thắng trận 97 vs Thắng trận 98 | Kickoff: 7/15/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -44266 phút
- Thắng trận 99 vs Thắng trận 100 | Kickoff: 7/16/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -45706 phút
- Thua trận 101 vs Thua trận 102 | Kickoff: 7/19/2026, 4:00:00 AM | Status: pending | Đã trôi qua: -50146 phút
- Thắng trận 101 vs Thắng trận 102 | Kickoff: 7/20/2026, 2:00:00 AM | Status: pending | Đã trôi qua: -51466 phút
\n\nĐang kích hoạt crawler cho các trận đã xong...
